program_id,ts_minute,batches_created,pieces_processed,weight_processed_g
3,2025-06-05T09:54:00Z,7,135,30557
3,2025-06-05T09:55:00Z,5,139,31390
3,2025-06-05T09:56:00Z,8,142,31932
3,2025-06-05T09:57:00Z,5,139,31214
3,2025-06-05T09:58:00Z,6,142,31357
3,2025-06-05T09:59:00Z,8,137,30731
3,2025-06-05T10:00:00Z,6,139,30674
3,2025-06-05T10:01:00Z,4,142,31707
3,2025-06-05T10:02:00Z,7,126,28393
3,2025-06-05T10:03:00Z,8,145,32422
3,2025-06-05T10:04:00Z,5,149,32623
3,2025-06-05T10:05:00Z,7,147,32385
3,2025-06-05T10:06:00Z,6,150,32988
3,2025-06-05T10:07:00Z,7,148,31976
3,2025-06-05T10:08:00Z,7,136,30193
3,2025-06-05T10:09:00Z,6,144,32065
3,2025-06-05T10:10:00Z,5,148,33114
3,2025-06-05T10:11:00Z,8,144,32011
3,2025-06-05T10:12:00Z,6,146,31679
3,2025-06-05T10:13:00Z,5,142,31641
3,2025-06-05T10:14:00Z,7,144,31692
3,2025-06-05T10:15:00Z,7,135,30049
3,2025-06-05T10:16:00Z,6,143,31835
3,2025-06-05T10:17:00Z,7,149,33102
3,2025-06-05T10:18:00Z,7,145,32485
3,2025-06-05T10:19:00Z,4,139,30638
3,2025-06-05T10:20:00Z,8,138,31000
3,2025-06-05T10:21:00Z,7,141,31879
3,2025-06-05T10:22:00Z,6,146,32982
3,2025-06-05T10:23:00Z,5,142,32008
3,2025-06-05T10:24:00Z,7,131,29741
3,2025-06-05T10:25:00Z,8,143,32060
3,2025-06-05T10:26:00Z,5,137,31192
3,2025-06-05T10:27:00Z,4,146,32690
3,2025-06-05T10:28:00Z,8,140,31954
3,2025-06-05T10:29:00Z,8,143,32530
3,2025-06-05T10:30:00Z,7,139,31761
3,2025-06-05T10:31:00Z,3,135,30828
3,2025-06-05T10:32:00Z,7,150,33926
3,2025-06-05T10:33:00Z,8,142,32438
3,2025-06-05T10:34:00Z,7,141,32288
