ts,program,gate,recipe
2025-06-05T11:55:35+00:00,5,6,R_310_400_4875_9999_NA_0
2025-06-05T11:55:35+00:00,5,7,R_310_400_4875_9999_NA_0
2025-06-05T11:55:35+00:00,5,8,R_10_999_4875_9999_NA_0
2025-06-11T06:01:58+00:00,6,1,R_120_170_0_0_exact_30
2025-06-11T06:01:58+00:00,6,2,R_120_170_0_0_exact_30
2025-06-11T06:01:58+00:00,6,3,R_160_200_0_0_exact_25
2025-06-11T06:01:58+00:00,6,4,R_160_200_0_0_exact_25
2025-06-11T06:01:58+00:00,6,5,R_200_250_4855_9999_NA_0
2025-06-11T06:01:58+00:00,6,6,R_200_250_4855_9999_NA_0
2025-06-11T06:01:58+00:00,6,7,R_200_250_4855_9999_NA_0
2025-06-11T06:01:58+00:00,6,8,R_10_1000_4875_9999_NA_0
2025-06-11T08:22:12+00:00,7,1,R_160_200_0_0_exact_25
2025-06-11T08:22:12+00:00,7,2,R_160_200_0_0_exact_25
2025-06-11T08:22:12+00:00,7,3,R_200_260_4875_9999_NA_0
2025-06-11T08:22:12+00:00,7,4,R_200_260_4875_9999_NA_0
2025-06-11T08:22:12+00:00,7,5,R_260_320_4855_9999_NA_0
2025-06-11T08:22:12+00:00,7,6,R_260_320_4855_9999_NA_0
2025-06-12T06:23:44+00:00,8,1,R_130_170_4875_9999_NA_0
2025-06-12T06:23:44+00:00,8,2,R_130_170_4875_9999_NA_0
2025-06-12T06:23:44+00:00,8,3,R_170_200_0_0_exact_25
2025-06-12T06:23:44+00:00,8,4,R_170_200_0_0_exact_25
2025-06-12T06:23:44+00:00,8,5,R_200_250_4855_9999_NA_0
2025-06-12T06:23:44+00:00,8,6,R_200_250_4855_9999_NA_0
2025-06-12T06:23:44+00:00,8,7,R_200_250_4855_9999_NA_0
2025-06-12T06:23:44+00:00,8,8,R_10_1000_4875_9999_NA_0
2025-06-12T09:11:37+00:00,9,1,R_130_170_4875_9999_NA_0
2025-06-12T09:11:37+00:00,9,2,R_130_170_4875_9999_NA_0
2025-06-12T09:11:37+00:00,9,3,R_170_200_0_0_exact_25
2025-06-12T09:11:37+00:00,9,4,R_170_200_4875_9999_NA_0
2025-06-12T09:11:37+00:00,9,5,R_200_250_4855_9999_NA_0
2025-06-12T09:11:37+00:00,9,6,R_200_250_4855_9999_NA_0
2025-06-12T09:11:37+00:00,9,7,R_200_250_4855_9999_NA_0
2025-06-12T09:11:37+00:00,9,8,R_10_1000_4875_9999_NA_0
2025-06-12T10:14:16+00:00,10,1,R_130_170_4875_9999_NA_0
2025-06-12T10:14:16+00:00,10,2,R_130_170_4875_9999_NA_0
2025-06-12T10:14:16+00:00,10,3,R_170_190_0_0_exact_25
2025-06-12T10:14:16+00:00,10,4,R_170_190_0_0_exact_25
2025-06-12T10:14:16+00:00,10,5,R_190_250_4855_9999_NA_0
2025-06-12T10:14:16+00:00,10,6,R_190_250_4855_9999_NA_0
2025-06-12T10:14:16+00:00,10,7,R_190_250_4855_9999_NA_0
2025-06-12T10:14:16+00:00,10,8,R_10_1000_4875_9999_NA_0
2025-06-12T11:44:56+00:00,11,1,R_130_160_0_0_exact_35
2025-06-12T11:44:56+00:00,11,2,R_130_160_0_0_exact_35
2025-06-12T11:44:56+00:00,11,3,R_160_205_0_0_exact_25
2025-06-12T11:44:56+00:00,11,4,R_160_205_0_0_exact_25
2025-06-12T11:44:56+00:00,11,5,R_200_250_4855_9999_NA_0
2025-06-12T11:44:56+00:00,11,6,R_200_250_4855_9999_NA_0
2025-06-12T11:44:56+00:00,11,7,R_200_250_4855_9999_NA_0
2025-06-12T11:44:56+00:00,11,8,R_10_1000_4875_9999_NA_0
2025-06-12T14:39:01+00:00,12,1,R_130_160_0_0_max_35
2025-06-12T14:39:01+00:00,12,2,R_130_160_0_0_max_35
2025-06-12T14:39:01+00:00,12,3,R_160_205_0_0_exact_25
2025-06-12T14:39:01+00:00,12,4,R_160_205_0_0_exact_25
2025-06-12T14:39:01+00:00,12,5,R_200_300_4855_9999_NA_0
2025-06-12T14:39:01+00:00,12,6,R_200_300_4855_9999_NA_0
2025-06-12T14:39:01+00:00,12,7,R_200_300_4855_9999_NA_0
